52 Wk Hi,52_week_high,current,prices,usdpershare
52 Wk Lo,52_week_low,current,prices,usdpershare
Acquisitions,acquisitions,cash_flow_statement,,usd
Daily Volume (avg),average_daily_volume,current,short_interest,shares
Altman Z-Score,altmanzscore,calculations,solvency,float
Asset Turnover,assetturnover,calculations,efficiency,float
EPS,basiceps,income_statement,,usdpershare
Beta,beta,current,info,float
Book Value/Share,bookvaluepershare,calculations,metric,usdpershare
Chief Executive Officer,ceo,current,info,string
Company Name,name,current,info,string
Current Ratio,currentratio,calculations,liquidity,float
Days to Cover,days_to_cover,current,short_interest,days
Debt to Equity,debttoebitda,calculations,leverage,float
Dividend per Share,dividend,current,dividend,usdpershare
Dividend Yield,dividendyield,calculations,valuation,percentage
EBITDA Growth,ebitdagrowth,calculations,growth,percentage
EBITDA Margin,ebitdamargin,calculations,profitability,percentage
EBITDA Q/Q Growth,ebitdaqoqgrowth,calculations,growth,percentage
Employees,employees,current,info,integer
Enterprise Value,enterprisevalue,calculations,valuation,usd
EPS Growth,epsgrowth,calculations,growth,percentage
EPS Q/Q Growth,epsqoqgrowth,calculations,growth,percentage
Financial Leverage,finleverage,calculations,leverage,float
Gross Margin,grossmargin,calculations,profitability,percentage
Goodwill,goodwill,balance_sheet,operating,usd
Inventory Turnover,invturnover,calculations,efficiency,float
Leverage Ratio,leverageratio,calculations,leverage,float
Long-Term Debt,longtermdebt,balance_sheet,nonoperating,usd
Long-Term Debt Interest,longtermdebtinterestexpense,income_statement,operating,usd
Long-Term Debt/EBITDA,ltdebttoebitda,calculations,solvency,float
Long-Term Debt/Equity,ltdebttoequity,calculations,leverage,float
Market Cap,marketcap,calculations,valuation,usd
Cash Flow Financing,netcashfromfinancingactivities,cash_flow_statement,,usd
Cash Flow Investing,netcashfrominvestingactivities,cash_flow_statement,,usd
Cash Flow Operating,netcashfromoperatingactivities,cash_flow_statement,,usd
Change in Cash,netchangeincash,cash_flow_statement,,usd
Net Income Growth,netincomegrowth,calculations,growth,percentage
Net Income Q/Q Growth,netincomeqoqgrowth,calculations,growth,percentage
Operating Margin,operatingmargin,calculations,profitability,percentage
Price/Book Value,pricetobook,calculations,valuation,multiple
Price/Earnings,pricetoearnings,calculations,valuation,multiple
Price/Fwd Earnings,pricetonextyearearnings,current,valuation,multiple
Price/Fwd Revenue,pricetonextyearrevenue,current,valuation,multiple
Price/Revenue,pricetorevenue,calculations,valuation,multiple
Net Income,profitmargin,calculations,profitability,percentage
Quick Ratio,quickratio,calculations,liquidity,float
R&D to Revenue,rdextorevenue,calculations,profitability,percentage
R&D Expense,rdexpense,income_statement,operating,usd
Return on Assets,roa,calculations,effectiveness,percentage
Return on Equity,roe,calculations,effectiveness,percentage
Return on Invested Capital,roic,calculations,effectiveness,percentage
Revenue Growth,revenuegrowth,calculations,growth,percentage
SG&A Expense,sgaexpense,income_statement,operating,usd
Short Interest,short_interest,current,short_interest,shares
Total Assets,totalassets,balance_sheet,,usd
Total Gross Profit,totalgrossprofit,income_statement,,usd
Total Operating Expenses,totaloperatingexpenses,income_statement,,usd
Total Operating Income,totaloperatingincome,income_statement,,usd
Total Revenue,totalrevenue,income_statement,,usd
